Circle, 50, 0, Alg.Ours, 0.1088623803994495
Circle, 100, 1, Alg.Ours, 0.11426322560994787
Flower, 50, 2, Alg.Ours, 0.10314674765271992
Flower, 100, 3, Alg.Ours, 0.11461424107860896
DoubleInfinity, 50, 4, Alg.Ours, 0.11729314306475513
DoubleInfinity, 100, 5, Alg.Ours, 0.10736673414150032
DiagonalDoubleInifinity, 50, 6, Alg.Ours, 0.10926962058056751
DiagonalDoubleInifinity, 100, 7, Alg.Ours, 0.10851696598144735
InscribedCircle, 50, 8, Alg.Ours, 0.09689910305787706
InscribedCircle, 100, 9, Alg.Ours, 0.10524469453011524
RadiusedRandomWalk, 50, 10, Alg.Ours, 0.09325341016623534
RadiusedRandomWalk, 100, 11, Alg.Ours, 0.10305919126090496
RadiusedRandomWalk, 50, 12, Alg.Ours, 0.10442177783588559
RadiusedRandomWalk, 100, 13, Alg.Ours, 0.11024480968884962
Circle, 50, 0, Alg.NEO, 0.07604336589171128
Circle, 100, 1, Alg.NEO, 0.115441282179275
Circle, 100, 1, Alg.NEO, 0.09664150568909675
Flower, 50, 2, Alg.NEO, 0.06559648742065122
Flower, 100, 3, Alg.NEO, 0.07719149350239439
DoubleInfinity, 50, 4, Alg.NEO, 0.05772557729739835
DoubleInfinity, 100, 5, Alg.NEO, 0.10042205754446515
DiagonalDoubleInifinity, 50, 6, Alg.NEO, 0.05647399350140386
DiagonalDoubleInifinity, 100, 7, Alg.NEO, 0.09525250840785325
InscribedCircle, 50, 8, Alg.NEO, 0.061871948604707974
InscribedCircle, 100, 9, Alg.NEO, 0.08413313433058763
RadiusedRandomWalk, 50, 10, Alg.NEO, 0.020755935049847535
RadiusedRandomWalk, 100, 11, Alg.NEO, 0.04787486980076243
RadiusedRandomWalk, 50, 12, Alg.NEO, 0.0295724857096092
RadiusedRandomWalk, 100, 13, Alg.NEO, 0.03720396311480898
Rectangle, 50, 14, Alg.NEO, 0.07074871951534072
Rectangle, 100, 15, Alg.NEO, 0.09688741895183635
Rectangle, 50, 14, Alg.NEO, 0.025696913952759616
Rectangle, 50, 14, Alg.NEO, 0.030183014876764724
Rectangle, 50, 14, Alg.NEO, 0.07417017537698813
Rectangle, 50, 14, Alg.NEO, 0.07453574844668134
Rectangle, 100, 15, Alg.NEO, 0.09172545837105274
Rectangle, 50, 14, Alg.NEO, 0.07242630459523434
Rectangle, 100, 15, Alg.NEO, 0.100417685690167
Rectangle, 50, 16, Alg.NEO, 0.06584819384230385
Rectangle, 100, 17, Alg.NEO, 0.0837586380720945
Rectangle, 50, 18, Alg.NEO, 0.051532415679833465
Rectangle, 100, 19, Alg.NEO, 0.09674879057728314
Rectangle, 50, 14, Alg.Ours, 0.10785311773848794
Rectangle, 100, 15, Alg.Ours, 0.11956476201808877
Rectangle, 50, 16, Alg.Ours, 0.11226742342950621
Rectangle, 100, 17, Alg.Ours, 0.11064678626906822
Rectangle, 50, 18, Alg.Ours, 0.10505433270916371
Rectangle, 100, 19, Alg.Ours, 0.12740231720802242
Circle, 50, 0, Alg.Ours, 0.10866584414942647
Circle, 100, 1, Alg.Ours, 0.11503038034279686
Flower, 50, 2, Alg.Ours, 0.10292236739632504
Flower, 100, 3, Alg.Ours, 0.11408260527890697
DoubleInfinity, 50, 4, Alg.Ours, 0.11728694222529205
DoubleInfinity, 100, 5, Alg.Ours, 0.10749719640256818
DiagonalDoubleInifinity, 50, 6, Alg.Ours, 0.10887827775136867
DiagonalDoubleInifinity, 100, 7, Alg.Ours, 0.10801585636386063
InscribedCircle, 50, 8, Alg.Ours, 0.09682415472608567
InscribedCircle, 100, 9, Alg.Ours, 0.10568705662851745
Circle, 50, 0, Alg.NEO, 0.07671847174701267
Circle, 100, 1, Alg.NEO, 0.09717091140837161
Flower, 50, 2, Alg.NEO, 0.06661255278820978
Flower, 100, 3, Alg.NEO, 0.07868989247064002
DoubleInfinity, 50, 4, Alg.NEO, 0.05823868278746192
DoubleInfinity, 100, 5, Alg.NEO, 0.10059944873488133
DiagonalDoubleInifinity, 50, 6, Alg.NEO, 0.052955984391984214
DiagonalDoubleInifinity, 100, 7, Alg.NEO, 0.09549814173158634
InscribedCircle, 50, 8, Alg.NEO, 0.06294049589595414
InscribedCircle, 100, 9, Alg.NEO, 0.08498854435550367
